,vaihingen_train_coordinate_list_method1,ai4gg_complexity,vaihingen_train_coordinate_list_method2,ai4gg_hybrid,ai4gg_diversity,vaihingen_train_coordinate_list_hybrid
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_1000_2400,0.797707757233365,0.0608391608391608,0.561844863731656,0.0244755244755244,0.3591893780573026,0.67977631
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_600_1000,0.881681905627396,0.916083916083916,0.157232704402516,0.6034965034965035,0.6037735849056604,0.519457305
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_200_1400,0.919913164796509,0.2643356643356643,0.075471698113208,0.1454545454545455,0.3263452131376659,0.497692431
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_800_1647,0.906567243354325,0.9832167832167832,0.779175401816911,0.9706293706293706,0.9706498951781972,0.842871323
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1800_200,0.857456734060682,0.7944055944055944,0.368972746331237,0.4104895104895105,0.4647099930118798,0.61321474
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2302_2200,0.695440304453704,0.034965034965035,0.763801537386443,0.5426573426573427,0.5429769392033543,0.729620921
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_2000_600,0.925345824040263,0.4370629370629371,0.879804332634521,0.2391608391608392,0.4975541579315164,0.902575078
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_600_1200,0.816631767039768,0.9013986013986014,0.349406009783368,0.4608391608391609,0.4675052410901467,0.583018888
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_200_1800,0.240174119544703,0.0,0.960866526904263,0.972027972027972,0.9720475192173306,0.600520323
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_0_600,0.814751626334391,0.5727272727272728,0.723969252271139,0.3048951048951048,0.0076869322152341,0.769360439
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1200_1000,0.696595717489084,0.6832167832167833,0.310272536687631,0.3608391608391608,0.4842767295597484,0.503434127
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_2301_400,0.644298460331537,0.3713286713286713,0.557651991614256,0.5671328671328671,0.56743535988819,0.600975226
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_800_1740,0.829298167996048,0.448951048951049,0.308176100628931,0.6286713286713287,0.6289308176100629,0.568737134
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_0_1000,0.8487189134719,0.3153846153846154,0.712089447938504,0.1769230769230769,0.1446540880503144,0.780404181
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_400_1600,0.734674771893674,0.9531468531468532,0.738644304682041,0.4874125874125874,0.2382948986722571,0.736659538
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_600_400,0.833789143121047,0.4573426573426573,0.981830887491265,0.6048951048951049,0.6051712089447938,0.907810015
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_400_1000,0.786167189034796,0.1888111888111888,0.388539482879106,0.0986013986013986,0.2431865828092243,0.587353336
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_0_1000,0.954960990570744,0.3699300699300699,0.390635918937806,0.2048951048951048,0.2473794549266247,0.672798455
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_1000_2600,0.763883742094675,0.2181818181818181,0.866526904262753,0.8090909090909091,0.8092243186582809,0.815205323
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_1400_1000,0.890790001308393,0.316083916083916,0.858141160027953,0.9587412587412588,0.9587700908455624,0.874465581
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_1400_1200,0.777968953136348,0.1685314685314685,0.020964360587002,0.086013986013986,0.4654088050314465,0.399466657
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_2200_1200,0.857249900326343,0.3433566433566434,0.971348707197764,0.6797202797202797,0.6799440950384347,0.914299304
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_0_1200,0.71211582194126,0.541958041958042,0.925227113906359,0.2930069930069929,0.3109713487071978,0.818671468
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_1400_400,0.782106366786713,0.2083916083916084,0.079664570230608,0.1125874125874125,0.2564640111809923,0.430885469
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1000_1400,0.843236575227645,0.8755244755244755,0.339622641509434,0.6881118881118882,0.6883298392732355,0.591429608
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_600_800,0.730904384069168,0.3223776223776223,0.852550663871419,0.1804195804195804,0.4661076170510133,0.791727524
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_1000_1000,0.853878357230346,0.8524475524475524,0.558350803633823,0.4384615384615384,0.1649196366177498,0.70611458
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_1200_600,0.494601281802026,0.0111888111888112,0.122990915443746,0.9286713286713286,0.9287211740041929,0.308796099
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_2000_0,0.877969765520857,0.3769230769230769,0.058700209643606,0.2062937062937062,0.1998602375960866,0.468334988
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_1000_1400,0.646482554147273,0.0475524475524475,0.881900768693221,0.7706293706293706,0.7707896575821104,0.764191661
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1600_1000,0.887685289269663,0.9895104895104896,0.825995807127883,0.5041958041958041,0.3752620545073375,0.856840548
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_0_200,0.7390912312347,0.5916083916083916,0.244584206848358,0.3153846153846154,0.190775681341719,0.491837719
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1600_800,0.722973326975557,0.1188811188811188,0.020265548567435,0.0559440559440559,0.1642208245981831,0.371619438
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_1000_1200,0.800114844178331,0.5524475524475525,0.686233403214535,0.8363636363636364,0.8364779874213837,0.743174124
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_0_1600,0.677503180516594,0.5965034965034965,0.072676450034941,0.3188811188811189,0.3312368972746331,0.375089815
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_1527_2200,0.945350492021618,0.5426573426573427,0.283717679944095,0.2937062937062937,0.4262753319357092,0.614534086
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_0_400,0.833267912982139,0.4909090909090909,0.49685534591195,0.5797202797202797,0.5800139762403913,0.665061629
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_200_400,0.633312484304368,0.5594405594405594,0.583508036338225,0.8377622377622378,0.8378756114605171,0.60841026
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_1800_1600,0.819025031018828,0.1804195804195804,0.482180293501048,0.5433566433566434,0.543675751222921,0.650602662
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_1800_1200,0.479938331641328,0.137062937062937,0.114605171208945,0.0678321678321678,0.1153039832285115,0.297271751
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_200_1600,0.839016191180513,0.958041958041958,0.56324248777079,0.4902097902097901,0.0789657582110412,0.701129339
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_600_1600,0.651260062402799,0.144055944055944,0.16911250873515,0.5643356643356643,0.5646401118099231,0.410186286
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1600_0,0.886459272610472,0.3426573426573427,0.03004891684137,0.6146853146853146,0.6149545772187281,0.458254095
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_2000_800,0.978297925190137,0.9048951048951048,0.167714884696017,0.9608391608391608,0.9608665269042628,0.573006405
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_1400_400,0.771942618154465,0.3671328671328671,0.403913347309574,0.2020979020979021,0.352900069881202,0.587927983
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1400_1200,0.874690918886474,0.5412587412587413,0.204751921733054,0.2923076923076922,0.1712089447938504,0.53972142
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1200_400,0.925596039283954,0.5776223776223777,0.26764500349406,0.7531468531468531,0.753319357092942,0.596620521
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_1200_800,0.733558284851906,0.3391608391608391,0.691125087351502,0.5258741258741259,0.5262054507337526,0.712341686
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_600_800,0.761264029244908,0.3370629370629371,0.039133473095737,0.1888111888111888,0.2900069881201956,0.400198751
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_1400_2200,0.977658122638599,0.9090909090909092,0.689727463312369,0.6160839160839161,0.6163522012578616,0.833692793
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2200_0,0.806332635931695,0.3447552447552447,0.991614255765199,0.9818181818181818,0.9818308874912648,0.898973446
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_2000_1400,0.805375612884971,0.8118881118881118,0.881201956673655,0.4216783216783216,0.4409503843466107,0.843288785
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_1000_2000,0.694666653047459,0.2937062937062937,0.455625436757512,0.1622377622377622,0.0090845562543675,0.575146045
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_800_1200,0.825876788326432,0.7503496503496503,0.165618448637317,0.8195804195804196,0.8197064989517819,0.495747618
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_2200_1663,0.849677305774681,0.2748251748251749,0.046121593291405,0.613986013986014,0.6142557651991615,0.44789945
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_800_600,0.763330736521563,0.1034965034965035,0.021663172606569,0.0489510489510489,0.0181691125087351,0.392496955
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_600_1200,0.933609517985198,0.3755244755244755,0.321453529000699,0.8993006993006993,0.89937106918239,0.627531523
top_mosaic_09cm_area21_dsm_09cm_matching_area21_top_mosaic_09cm_area21_2290_600,0.933591516614898,0.927972027972028,0.480782669461915,0.5853146853146853,0.5856044723969253,0.707187093
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1200_200,0.79083935151085,0.9104895104895104,0.245283018867924,0.5356643356643357,0.5359888190076869,0.518061185
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_200_800,0.915519770899771,0.9027972027972028,0.904262753319357,0.5755244755244755,0.5758211041229909,0.909891262
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_400_1740,0.678058120435564,0.6223776223776224,0.381551362683438,0.7853146853146853,0.7854647099930119,0.529804742
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_0_1600,0.803286041205592,0.379020979020979,0.902865129280224,0.2076923076923077,0.0985324947589098,0.853075585
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_0_600,0.790831635861642,0.8461538461538461,0.406009783368274,0.4370629370629371,0.1208944793850454,0.59842071
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_800_1800,0.80914908696916,0.7111888111888112,0.260656883298393,0.5867132867132867,0.5870020964360587,0.534902985
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1600_400,0.729674205306249,0.4972027972027972,0.289308176100629,0.7601398601398601,0.7603074772886094,0.509491191
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_600_1000,0.87942609974247,0.7902097902097902,0.40041928721174,0.6384615384615384,0.6387141858839972,0.639922693
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_200_0,0.860043899911324,0.7811188811188812,0.43675751222921,0.8013986013986014,0.8015373864430468,0.648400706
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_1600_1600,0.845721101209594,0.8307692307692307,0.316561844863732,0.5279720279720279,0.5283018867924528,0.581141473
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_400_200,0.845538131652243,0.5496503496503496,0.717679944095038,0.2965034965034965,0.3696715583508036,0.781609038
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1200_1600,0.870785768011501,0.0706293706293705,0.042627533193571,0.0286713286713287,0.29979035639413,0.456706651
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_1200_800,0.94022263895648,0.997902097902098,0.913347309573725,0.509090909090909,0.0174703004891684,0.926784974
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_1400_800,0.815656378574506,0.8419580419580419,0.890985324947589,0.734965034965035,0.7351502445842069,0.853320852
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_200_2200,0.885768722006333,0.4713286713286713,0.617051013277428,0.2559440559440559,0.4500349406009783,0.751409868
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_1800_600,0.911090488367104,0.5853146853146853,0.560447239692523,0.3104895104895104,0.3703703703703703,0.735768864
top_mosaic_09cm_area17_dsm_09cm_matching_area17_top_mosaic_09cm_area17_800_1600,0.728341462744418,0.5300699300699301,0.39832285115304,0.2881118881118881,0.3906359189378057,0.563332157
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_2000_1600,0.862651517665924,0.9657342657342656,0.784765897973445,0.5559440559440559,0.5562543675751223,0.823708708
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_2000_0,0.679892336727485,0.2699300699300699,0.906359189378057,0.5503496503496503,0.5506638714185884,0.793125763
top_mosaic_09cm_area7_dsm_09cm_matching_area7_top_mosaic_09cm_area7_1200_1631,0.865361579681208,0.1244755244755244,0.36408106219427,0.7314685314685314,0.7316561844863732,0.614721321
top_mosaic_09cm_area5_dsm_09cm_matching_area5_top_mosaic_09cm_area5_2000_200,0.813418644696105,0.0230769230769231,0.895178197064989,0.0055944055944056,0.2341020265548567,0.854298421
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1400_200,0.884164627668826,0.7517482517482518,0.481481481481482,0.393006993006993,0.4360587002096436,0.682823055
top_mosaic_09cm_area23_dsm_09cm_matching_area23_top_mosaic_09cm_area23_2200_1000,0.83566458923423,0.4279720279720279,0.194269741439553,0.7111888111888112,0.7113906359189378,0.514967165
top_mosaic_09cm_area32_dsm_09cm_matching_area32_top_mosaic_09cm_area32_1000_400,0.603870088547038,0.3237762237762237,0.758211041229909,0.8146853146853147,0.8148148148148148,0.681040565
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_1600_1400,0.809024984555135,0.6356643356643357,0.459119496855346,0.3377622377622378,0.1013277428371768,0.634072241
top_mosaic_09cm_area13_dsm_09cm_matching_area13_top_mosaic_09cm_area13_2302_800,0.913383655381577,0.3783216783216783,0.058001397624039,0.7874125874125875,0.7875611460517121,0.485692527
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_1600_0,0.694304756498257,0.1853146853146853,0.47099930118798,0.5391608391608391,0.5394828791055206,0.582652029
top_mosaic_09cm_area3_dsm_09cm_matching_area3_top_mosaic_09cm_area3_1200_200,0.644985435655972,0.2531468531468531,0.032844164919637,0.1391608391608392,0.1481481481481481,0.3389148
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_400_600,0.943365114207885,0.9762237762237762,0.621942697414396,0.4965034965034964,0.3298392732354996,0.782653906
top_mosaic_09cm_area37_dsm_09cm_matching_area37_top_mosaic_09cm_area37_400_400,0.936172971798414,0.2125874125874125,0.060097833682739,0.1167832167832167,0.3913347309573725,0.498135403
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_2200_400,0.86350127145443,0.1531468531468531,0.726764500349406,0.079020979020979,0.1858839972047519,0.795132886
top_mosaic_09cm_area26_dsm_09cm_matching_area26_top_mosaic_09cm_area26_1400_600,0.622756476413217,0.1118881118881118,0.990216631726065,0.0531468531468531,0.3165618448637317,0.806486554
top_mosaic_09cm_area1_dsm_09cm_matching_area1_top_mosaic_09cm_area1_2200_1400,0.817700525727561,0.9601398601398602,0.245981830887491,0.583916083916084,0.5842068483577918,0.531841178
